Intent,Episodes,MeanReward,StdReward,MinReward,MaxReward,DetectionRate,StdDetRate,FalsePositiveRate,StdFPRate,AvgThreatLevel,AvgCompositeRisk
STEALTHY,30,1012.22,51.37,920.0,1124.5,0.9909,0.0031,0.3556,0.3659,0.8063,0.6317
AGGRESSIVE,30,1090.84,19.8,1051.0,1128.5,0.9947,0.0013,0.0667,0.2494,0.8535,0.7092
TARGETED,30,1127.1,20.98,1074.0,1168.0,0.9948,0.0009,0.0333,0.1795,0.8527,0.6728
OPPORTUNISTIC,30,896.05,32.98,843.0,973.0,0.9941,0.0019,0.15,0.3452,0.7897,0.6626
